,Unnamed: 0,名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,家賃,管理費,敷金,礼金,間取り,面積,URL,沿線,駅,徒歩
36,36,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,ＪＲ山手線/目黒駅 バス17分 (バス停)田向公園 歩2分,15.0,4階建,3-4階,26.5,0.0,26.5,26.5,2LDK,82.47,https://suumo.jp/chintai/jnc_000084401017/,ＪＲ山手線,目黒駅,17
37,37,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,ＪＲ山手線/目黒駅 バス17分 (バス停)田向公園 歩2分,15.0,4階建,3階,26.5,0.0,26.5,26.5,2SLDK,82.47,https://suumo.jp/chintai/jnc_000084395306/,ＪＲ山手線,目黒駅,17
38,38,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,3.0,7階建,1階,11.8,1.0,11.8,0.0,1K,26.47,https://suumo.jp/chintai/jnc_000086731742/,京王井の頭線,神泉駅,7
39,39,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,3.0,7階建,1階,11.8,1.3,11.8,0.0,1K,26.47,https://suumo.jp/chintai/jnc_000086724089/,京王井の頭線,神泉駅,7
40,40,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,3.0,7階建,4階,12.5,1.0,12.5,0.0,1K,26.47,https://suumo.jp/chintai/jnc_000070294103/,京王井の頭線,神泉駅,7
41,41,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,3.0,7階建,4階,12.5,1.3,12.5,0.0,1K,26.47,https://suumo.jp/chintai/jnc_000086724092/,京王井の頭線,神泉駅,7
42,42,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,3.0,7階建,3階,13.9,1.0,13.9,0.0,1K,28.77,https://suumo.jp/chintai/jnc_000070294101/,京王井の頭線,神泉駅,7
43,43,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,3.0,7階建,3階,13.9,1.3,13.9,0.0,ワンルーム,28.77,https://suumo.jp/chintai/jnc_000086724091/,京王井の頭線,神泉駅,7
44,44,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,3.0,7階建,3階,14.0,1.3,14.0,0.0,ワンルーム,29.18,https://suumo.jp/chintai/jnc_000085533763/,京王井の頭線,神泉駅,7
45,45,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,3.0,7階建,6階,26.0,1.5,26.0,0.0,1LDK,45.63,https://suumo.jp/chintai/jnc_000086724093/,京王井の頭線,神泉駅,7
46,46,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,3.0,7階建,5階,28.0,1.0,28.0,0.0,ワンルーム,51.3,https://suumo.jp/chintai/jnc_000077941380/,京王井の頭線,神泉駅,7
47,47,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,3.0,7階建,6階,27.8,1.5,27.8,0.0,1LDK,51.3,https://suumo.jp/chintai/jnc_000084818352/,京王井の頭線,神泉駅,7
48,48,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,3.0,7階建,3階,30.0,2.0,30.0,0.0,2LDK,54.95,https://suumo.jp/chintai/jnc_000086724090/,京王井の頭線,神泉駅,7
49,49,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,3.0,7階建,2階,30.0,2.0,30.0,0.0,2LDK,54.95,https://suumo.jp/chintai/jnc_000083376170/,京王井の頭線,神泉駅,7
